City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Octeville,FR,49.6261,-1.6435,52.29,76,90,8.05,overcast clouds
80,Ahipara,NZ,-35.1667,173.1667,69.46,94,100,5.95,moderate rain
81,Dindori,IN,22.95,81.0833,51.62,44,0,2.51,clear sky
82,Cairns,AU,-16.9167,145.7667,80.55,84,75,6.91,broken clouds
83,Golden,US,39.7555,-105.2211,66.29,18,75,4.0,broken clouds
84,Fort Nelson,CA,58.8053,-122.7002,0.99,78,90,3.44,light snow
85,Mpongwe,ZM,-13.5091,28.155,73.76,42,60,3.76,broken clouds
86,Dehloran,IR,32.6941,47.2679,61.79,22,99,0.96,overcast clouds
87,Rexburg,US,43.826,-111.7897,36.91,67,90,12.66,light snow
88,Asfi,MA,32.2994,-9.2372,61.77,64,0,1.5,clear sky
89,Margate,GB,51.3813,1.3862,52.97,88,100,4.0,overcast clouds
90,Samarai,PG,-10.6167,150.6667,81.84,81,100,11.81,overcast clouds
91,Torbay,CA,47.6666,-52.7314,56.75,91,90,37.98,light intensity drizzle
92,Oranjemund,NA,-28.55,16.4333,62.78,90,28,5.1,scattered clouds
93,Kaitangata,NZ,-46.2817,169.8464,56.93,79,77,1.32,broken clouds
94,Baiao,BR,-2.7906,-49.6717,84.15,77,90,1.81,overcast clouds
95,Camacha,PT,33.0833,-16.3333,63.54,94,40,2.3,scattered clouds
96,Atar,MR,20.5169,-13.0499,75.63,13,80,8.52,broken clouds
97,Totolapa,MX,18.5167,-96.1833,78.73,67,66,10.89,broken clouds
98,Saint-Philippe,RE,-21.3585,55.7679,78.39,78,79,14.72,broken clouds
99,Arrecife,ES,28.963,-13.5477,66.27,82,0,8.05,clear sky
100,Kidal,ML,18.4411,1.4078,76.15,10,89,8.3,overcast clouds
101,Haines Junction,CA,60.7522,-137.5108,-9.45,70,98,2.3,overcast clouds
102,Santiago Del Estero,AR,-27.7951,-64.2615,98.8,19,15,9.78,few clouds
103,Gizo,SB,-8.103,156.8419,83.12,76,100,5.57,light rain
104,Stornoway,GB,58.2093,-6.3865,44.92,94,90,3.0,light intensity drizzle
105,Tiarei,PF,-17.5333,-149.3333,84.22,81,94,10.2,moderate rain
106,Corinto,GR,37.9407,22.9573,58.68,83,83,5.66,broken clouds
107,La Palma,US,33.8464,-118.0467,68.76,47,20,1.99,few clouds
108,Bambous Virieux,MU,-20.3428,57.7575,79.05,69,20,8.05,few clouds
109,Sawakin,SD,19.1059,37.3321,81.43,70,3,12.19,clear sky
110,Kapuskasing,CA,49.4169,-82.4331,35.69,80,75,13.8,broken clouds
111,Yongchang,CN,30.0381,119.7317,43.45,83,94,5.41,overcast clouds
112,Rundu,NA,-17.9333,19.7667,67.03,84,78,5.41,light rain
113,Vardo,NO,70.3705,31.1107,28.6,86,75,18.41,broken clouds
114,Eydhafushi,MV,5.1033,73.0708,81.91,76,100,11.9,overcast clouds
115,Cap Malheureux,MU,-19.9842,57.6142,79.29,67,100,3.0,overcast clouds
116,Viesca,MX,25.35,-102.8,68.36,28,40,3.58,scattered clouds
117,Yulara,AU,-25.2406,130.9889,69.64,88,75,11.5,light rain
118,Becerril,CO,9.7041,-73.2793,94.1,29,100,4.52,overcast clouds
119,Airai,TL,-8.9266,125.4092,61.12,90,100,1.61,overcast clouds
120,Port Elizabeth,ZA,-33.918,25.5701,72.1,83,90,5.75,overcast clouds
121,Savannah Bight,HN,16.45,-85.85,86.05,70,0,13.67,clear sky
122,Port Alfred,ZA,-33.5906,26.891,70.75,93,100,16.75,light rain
123,Upernavik,GL,72.7868,-56.1549,6.35,92,100,9.98,overcast clouds
124,Hofn,IS,64.2539,-15.2082,40.82,84,100,3.89,light rain
125,Mandiana,GN,10.6333,-8.6833,79.21,14,79,4.52,broken clouds
126,Faanui,PF,-16.4833,-151.75,80.58,72,97,8.5,light rain
127,Poltavka,RU,54.3663,71.7632,7.3,90,90,11.61,overcast clouds
128,Vestmannaeyjar,IS,63.4427,-20.2734,44.31,69,100,22.08,overcast clouds
129,Lata,PT,40.1629,-8.3327,57.61,78,18,3.96,few clouds
130,Madison,US,34.7334,-86.5667,53.78,44,1,1.01,clear sky
131,Qaanaaq,GL,77.484,-69.3632,-3.32,69,60,2.71,broken clouds
132,Henties Bay,NA,-22.116,14.2845,62.85,86,0,6.06,clear sky
133,Umm Lajj,SA,25.0213,37.2685,77.02,45,100,1.9,overcast clouds
134,Mar Del Plata,AR,-38.0023,-57.5575,73.42,82,75,4.0,broken clouds
135,Gongzhuling,CN,43.5008,124.8198,12.54,63,0,7.94,clear sky
136,Mogadishu,SO,2.0371,45.3438,79.56,84,85,20.33,overcast clouds
137,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,77,90,4.61,light rain
138,Abancay,PE,-13.6339,-72.8814,77.86,37,99,7.02,overcast clouds
139,Porto Novo,BJ,6.4965,2.6036,85.82,79,24,7.94,few clouds
140,Demyansk,RU,57.643,32.466,32.63,98,100,7.36,snow
141,Axim,GH,4.8699,-2.2405,80.58,83,55,8.57,broken clouds
142,Najran,SA,17.4924,44.1277,54.25,55,9,2.35,clear sky
143,Rahuri,IN,19.3833,74.65,68.47,57,24,4.9,few clouds
144,Clyde River,CA,70.4692,-68.5914,-1.97,84,29,11.5,scattered clouds
145,Provideniya,RU,64.3833,-173.3,-11.69,90,51,5.7,broken clouds
146,Castro,BR,-24.7911,-50.0119,82.09,41,99,5.61,overcast clouds
